rank,personName,age,finalWorth,year,month,category,source,country,state,city,countryOfCitizenship,organization,selfMade,gender,birthDate,title,philanthropyScore,residenceMsa,numberOfSiblings,bio,about
192,Shuirong Li,65.0,10300.0,2022,4,Manufacturing,petrochemicals,China,,Hangzhou,China,,True,M,1956-07-01,,,,,"Li Shuirong chairs Zhejiang Rongsheng Holding Group, a producer of petrochemicals through its listed Rongsheng Petrochemical.
Li started his first business in 1989,  producing polyester fiber cloth.
Rongsheng also produces coal chemicals and polyester products.",
601,Martin Haefner,68.0,4700.0,2022,4,Technology,"software, investments",Switzerland,,Zurich,Switzerland,,False,M,1954-01-01,,,,1.0,"Martin Haefner's fortune largely stems from his former stake in IT management software maker CA Technologies, acquired by Broadcom in July 2018.
He inherited half of his father Walter's stake in CA Technologies when he died in June 2012, then the world's oldest billionaire at 101.
He also inherited part of car dealer AMAG, which sells brands including Volkswagen, Audi, Bentley and Porsche.
His sister, Eva Maria Bucher-Haefner, inherited equal stakes in CA Technologies and AMAG. He bought her stake in AMAG in 2018.
Martin co-owns the Bellerive Hotel in Lausanne, Switzerland, with his sister.","Prior to joining the family business, Haefner taught math in Baden and Lucerne, Switzerland."
288,Hasso Plattner & family,78.0,7900.0,2022,4,Technology,software,Germany,,Heidelberg,Germany,,True,M,1944-01-21,,,,,"Hasso Plattner and four colleagues left IBM in 1972 to launch German enterprise software company SAP, which went public in 1988. 
He has served as chairman of the SAP supervisory board since May 2003, when he stepped down as CEO.
His nonprofit Hasso Plattner Institute focuses on research and teaching in IT systems engineering, offering degree programs and free online courses.
The institute has established Design Thinking schools at the University of Potsdam, Stanford University and the University of Cape Town.
A signee of the Giving Pledge, Plattner has supported HIV/AIDS and TB prevention, youth care and education, and conservation research in Africa.","The Plattner-funded Museum Barberini in Potsdam, which opened in 2017, features his extensive collection of impressionist and modernist works.
In the U.S., Plattner is majority owner of the San Jose Sharks ice hockey team."
56,Susanne Klatten,59.0,24300.0,2022,4,Automotive,"BMW, pharmaceuticals",Germany,,Bad Homburg,Germany,,False,F,1962-04-28,,,,,"Susanne Klatten  owns about 19% of automaker BMW; her brother, Stefan Quandt, owns nearly 24%.
Their late mother, Johanna, was the third wife of legendary industrialist Herbert Quandt, who guided BMW to preeminence in the luxury market.
An economist with an M.B.A., Klatten helped transform her grandfather's Altana AG into a world-class pharmaceutical/specialty chemical corporation.
Klatten is the sole owner and deputy chair of Altana, which has more than $2.5 billion in annual sales. 
She also holds stakes in Entrust, which specializes in digital identity and data security, and carbon and graphite producer SGL Group.","Klatten is founder of an innovation center at Technical University of Munich, UnternehmerTUM, which claims to be the leading center for business creation in Germany.
Her grandfather Guenther Quandt was a Nazi-era industrialist whose ex-wife married Joseph Goebbels."
2578,Glenn Sanford,55.0,1000.0,2022,4,Real Estate,real estate brokerage,United States,Washington,Blaine,United States,,True,M,1966-10-15,,,,,"Glenn Sanford is chairman and CEO of eXp World Holdings, a real estate brokerage firm.
Sanford founded the company, which is based in Bellingham, Washington, in 2008. .
The company went public on the Nasdaq in February 2018; revenue grew 84% to $1.8 billion in 2020. 
Sanford worked at the executive level with a number of internet startups in the 1990s.",
1729,Li Jianli,49.0,1700.0,2022,4,Manufacturing,lithium-ion battery cap,China,,Shenzhen,China,,True,M,1972-09-27,,,,,"Li Jianli chairs Shenzhen Kedali Industry, a supplier of lithium battery components.",
2324,Emilio Azcarraga Jean,54.0,1200.0,2022,4,Media & Entertainment,TV broadcasting,Mexico,,Mexico City,Mexico,,False,M,1968-02-21,,,,,"Emilio AzcÃ¡rraga Jean inherited control of Mexico's largest television company, Televisa, after his father, Emilio Azcarraga Milmo, died in 1997.
Televisa was founded by his grandfather, Emilio AzcÃ¡rraga Vidaurrieta.
After two decades at the helm, AzcÃ¡rraga decided to step down as Televisa's CEO at the beginning of 2018, but retains his role as chairman.",
1012,Neal Blue & family,87.0,3000.0,2022,4,Manufacturing,defense,United States,California,San Diego,United States,,True,M,1935-04-04,,,"San Diego, CA",,"Neal Blue is chairman and CEO of $3.1 billion (est. sales) General Atomics, a defense company based in San Diego.
The company is best known as the manufacturer of the Predator drone, one of the first drones to fly over Afghanistan after 9/11.
The largest private government contractor in the U.S., GA's clients include foreign nations such as Italy, Spain, and the UAE.
With his brother Linden, he bought the then nuclear energy company from Chevron for a reported $60 million in 1986.
After graduating from Yale, Blue served in the U.S. Air Force as a nuclear weapons custodian. ","Linden Blue, who owns a smaller stake and is a vice president at the company, is worth $800 million.
In 1956, Neal, then 21, and Linden, 20, raised $3,000 to fly a single-propeller plan across Central and South America. Life Magazine put them on its cover."
1729,Patrizio Vinciarelli,75.0,1700.0,2022,4,Technology,electronic components,United States,Massachusetts,Boston,United States,,True,M,1946-10-26,,,"Boston, MA",,"Patrizio Vinciarelli founded Vicor Corp in 1981 and is the president, CEO and chairman of the company.
Vicor designs, develops, and manufactures power components such as AC-DC converters. 
Before starting Vicor, Vinciarelli studied high-energy physics at CERN in Switzerland and the Institute for Advanced Study in Princeton, NJ.
He has a PhD in physics from the University of Rome and holds more than 100 patents electronics conversion technology.",
1645,Zhang Chuanwei & family,59.0,1800.0,2022,4,Manufacturing,machinery,China,,Zhongshan,China,,True,M,1962-06-15,,,,,"Zhang Chuanwei is the chairman and CEO of Ming Yang Smart Energy Group, a wind turbine manufacturer headquartered in China's Guangdong Province.
Zhang founded Ming Yang in the city of Zhongshan in 2006.",
1238,Jamshyd Godrej,73.0,2500.0,2022,4,Diversified,diversified,India,,Mumbai,India,,False,M,1949-01-24,,,,1.0,"Jamshyd Godrej is chairman and managing director of Godrej &amp; Boyce, a privately held flagship company of the Godrej Group.
The company's businesses span ten industries from consumer goods to engineering solutions. 
He is the cousin of the Godrej clan's billionaire patriarch Adi Godrej.
Jamshyd Godrej's son Navroze is a non-executive director at Godrej & Boyce, while his niece Nyrika is an executive director.","A U.S.-trained mechanical engineer, Jamshyd is a keen sailor.
His sister Smita Crishna-Godrej is also a billionaire.
"
822,David Filo,55.0,3600.0,2022,4,Technology,Yahoo,United States,California,Palo Alto,United States,Yahoo!,True,M,1966-04-15,Entrepreneur,2.0,"San Jose, CA",,"David Filo is cofounder of early web portal Yahoo, which sold its core business to Verizon for $5 billion in cash in 2016.
The most valuable part of Yahoo - its stakes in Alibaba and Yahoo Japan - morphed into a company called Altaba. Altaba voted to liquidate in 2019. 
Filo started the company in 1995 with Jerry Yang, a classmate at his Stanford Ph.D. program. The duo dropped out to run Yahoo.
Filo and his wife Angela established the Yellow Chair Foundation in 2000; it supports education, civil liberties, gender equality and the environment.
In 2004, Filo donated $30 million to his alma mater, Tulane University, for engineering and computer science scholarships.","Filo's wife Angela, a photographer and educator, sits on Stanford's Board of Trustees. David got a master's degree from Stanford in 1990.
Originally called ""Jerry and David's Guide to the World Wide Web,"" Yahoo was named after a word from Gulliver's Travels that meant ""rude, unsophisticated."""
19,Rob Walton,77.0,65000.0,2022,4,Fashion & Retail,Walmart,United States,Arkansas,Bentonville,United States,Walmart,False,M,1944-10-27,Director,1.0,"Fayetteville, AR",,"Rob Walton is the eldest son of Walmart founder Sam Walton.
Walton took over as chairman upon his father's death in 1992.
He retired as chairman in June 2015 and was replaced by his son-in-law, Greg Penner. Penner still sits on Walmart's board.
He and other heirs of Sam Walton collectively own about half of Walmart's stock.
To keep up with demand during the Covid-19 pandemic, Walmart hired an additional 400,000 mostly temporary workers.","Rob Walton, who has a law degree from Columbia University, helped Walmart prepare for its IPO in 1970. 
He sits on the board of the Walton Family Foundation, which was set up by his parents, Sam and Helen Walton, on Walmart's 25th anniversary in 1987."
471,David Sun,70.0,5600.0,2022,4,Technology,computer hardware,United States,California,Irvine,United States,Kingston Technology Corporation,True,M,1951-10-12,COO,1.0,"Los Angeles-Long Beach-Santa Ana, CA",,"David Sun cofounded and helps run Kingston Technology, which makes storage and memory products, as COO from a cubicle on the sales floor.
With longtime partner John Tu, Sun launched a computer memory business out of a garage and sold it to now defunct PC maker AST a few years later.
The pair started Kingston by making surface-mount memory chips after losing most of their first fortune in the stock market. 
Sun and his wife, Diana, have a foundation that provides grants to education programs for under-served youth in the U.S. and Taiwan.
The company's name comes from one of John Tu's favorite bands, the Kingston Trio.",Sun met longtime business partner John Tu in a basketball league in 1978.
552,Dirk Ziff,58.0,5000.0,2022,4,Finance & Investments,investments,United States,Florida,North Palm Beach,United States,,False,M,1964-04-01,,1.0,"Miami-Fort Lauderdale-Pompano Beach, FL",,"Dirk Ziff and his brothers Robert and Daniel inherited a fortune from their grandfather, who cofounded publishing company Ziff Davis in 1927. 
The brothers' late father built up Ziff Davis, publisher of PC Magazine and Car and Driver, and sold the company for $1.4 billion in 1994.
Through their Ziff Brothers Investments, which had hedge funds in the U.S. and in London, the brothers greatly expanded their inheritance.
In 2015, Dirk Ziff formed his own family office, Ziff Capital Partners.
The brothers are also reportedly investing with employees formerly at their hedge funds.","In 2021, the Ziffs sold their late father's estate in Manalapan, Florida for $94 million. It was originally listed in 2015 for $200 million.
Dirk is married to a former Forbes Magazine reporter."
1397,Jonathan Kwok,30.0,2200.0,2022,4,Real Estate,Real Estate,Hong Kong,,Hong Kong,Hong Kong,,False,M,1992-03-01,,,,,"Jonathan Kwok is the younger son of the late Walter Kwok, former chairman of Hong Kong's largest developer, Sun Hung Kai Properties.
Walter died on Oct. 20, 2018 at age 68. He had been ousted as company chairman in 2008 in a feud with his two brothers, Thomas and Raymond.
After his death, Jonathan and his brother, Geoffrey, took over Empire Group Holdings, a property developer that Walter started after he left SHKP.
The brothers inherited Walter's direct stake in SHKP and are named beneficiaries of one-third of five large family trusts held by their grandmother.","His grandmother Kwong Siu-hing is the widow of Sun Hung Kai Properties co-founder Kwok Tak-seng, who died in 1990."
1818,George Sakellaris,75.0,1600.0,2022,4,Energy,energy services,United States,Massachusetts,Milton,United States,,True,M,1946-06-03,,,"Boston, MA",,"George Sakellaris is the founder and CEO of Ameresco, a clean technology integrator that trades on the New York Stock Exchange.
He got his start working for the utility New England Electric System, then purchased and expanded an energy services company.
Ameresco provides clean energy consultation, development and implementation services for organizations. 
He took Ameresco public in 2010. ",
2578,Yunfeng Ke & family,55.0,1000.0,2022,4,Healthcare,retailing,China,,Guangzhou,China,,True,M,1967-01-01,,,,,"Ke Yunfeng is the chairman of Dashenlin Pharmaceutical Group. 
Dashenlin went public at the Shanghai Stock Exchange on 2017. 
The company opened its first store in the southern Chinese city of Zhenjiang in 1999; it has more than 4,000 today. 
Dashenlin has more than 23,000 employees. ",
601,Robert Brockman,80.0,4700.0,2022,4,Technology,software,United States,Texas,Houston,United States,,True,M,1941-05-28,,2.0,"Houston, TX",,"Brockman got his start at IBM selling mainframe computer services to auto dealers, then launched Universal Computer Services in 1970. 
Brockman is  the former chairman of Reynolds and Reynolds, which sells software and services to automotive dealerships. 
In 2000 he committed $1 billion in seed capital for billionaire Robert F. Smith to launch private equity giant Vista Equity Partners. 
The U.S. Dept. of Justice filed criminal charges in 2020, accusing Brockman of evading taxes on $2 billion in capital gains; he denies the charges. 
An avid fisherman, Brockman owns a 209-foot yacht, the Albula, and enjoys jaunts to the Berry Islands near the Bahamas. ",
984,Pawan Munjal & family,68.0,3100.0,2022,4,Automotive,motorcycles,India,,Delhi,India,,False,M,1954-01-01,,,,,"Pawan Munjal, son of late Brijmohan Lall Munjal, founder of Hero Group, who died in 2015 at age 92, runs motorcycle flagship Hero MotoCorp. 
A former partner of Japan's Honda, Hero is the world's largest producer of two-wheelers by volume having sold more than 100 million units to date.
After parting ways with Honda in 2011, Pawan has led a global expansion with factories in Colombia and Bangladesh. 
Hero has a research unit in Jaipur that employs 1,000 engineers as well as another research center in Germany. 
After plummeting during the pandemic lockdown, an uptick in rural demand led to sales of two-wheelers returning to close to pre-pandemic levels.  ","Munjal's younger sibling Sunil stepped down as Hero' s joint managing director in 2016 to run his own independent businesses.

His daughter Vasudha, who founded Choko La, a brand of premium chocolates, was appointed to Hero's board in April 2022."
1513,Maria-Elisabeth Schaeffler-Thumann,80.0,2000.0,2022,4,Automotive,auto parts,Germany,,Herzogenaurach,Germany,,False,F,1941-08-17,,,,,"Maria-Elisabeth Schaeffler-Thumann and her son Georg own Schaeffler Group, one of the world's largest ball bearing and machine component producers.
She took over in 1996, following the death of her husband (also Georg) who had founded the company with his brother Wilhelm in 1946.
In 2008, the company took over tire and auto parts giant Continental AG in a $15-billion, debt-financed deal.
In the wake of the financial crisis, it seemed the high-wire act might fail. But as the auto market rebounded, Continental's share price soared.
Maria-Elisabeth and Georg's combined 46% stake in Continental accounts for most of their wealth.","Maria-Elisabeth, who owns 20% of Schaeffler Group, lives in the tony Austrian ski resort town of Kitzbuehel, while Georg, with 80%, leads a quiet life in the U.S.
In 2014, she married Juergen Thumann, former head of the German industrial organization BDI."
778,Pablo Legorreta,58.0,3800.0,2022,4,Finance & Investments,investments,United States,New York,Sag Harbor,United States,,True,M,1963-10-30,,,,,"Pablo Legorreta is the founder of Royalty Pharma, the world's biggest acquirer of pharmaceutical royalty streams. 
Royalty Pharma, which conducted an IPO in 2020, has collected revenue slices of blockbuster drugs like Humira, Imbruvica, Lyrica, and Xtandi. 
A former investment banker at Lazard FrÃ¨res, Legoretta started Royalty Pharma in New York as a private equity vehicle in 1996. 
Legoretta is the sole owner of RP Management, the investment manager that oversees Royalty Pharma's $17 billion of assets. ",
1292,T.Y. Tsai,69.0,2400.0,2022,4,Finance & Investments,finance,Taiwan,,Taipei,Taiwan,,False,M,1953-01-01,,,,,"Tsai's father, Tsai Wan-lin, built Cathay Life Insurance into a powerhouse and was Taiwan's richest person at the time of his 2004 death.
Tsai struck out on his own in 2010, selling his shares in Cathay Financial Holding, Cathay Life's successor, to his brothers.
These days Tsai makes real estate investments through Homax Equity.
He has a collection of cars and art, including at least one Monet.
Cousins Daniel and Richard and brothers Hong-tu and Cheng-ta are all billionaires.",
1238,William Li,47.0,2500.0,2022,4,Automotive,electric vehicles,China,,Beijing,China,,True,M,1975-01-01,,,,,"Dubbed the ""Elon Musk of China,"" William Bin Li is the founder and chairman of Bitauto, a provider of web content for the auto industry. 
Li founded Shanghai-headquartered electric car maker Nio, which began taking orders for its first electric SUV in December 2017.
Nio, which had raised $2.1 billion in funding, went public in September 2018 on the New York Stock Exchange. 
Li, who owns just under 14% of auto maker Nio, holds a bachelor's degree in sociology from Peking University.",
490,Joe Lewis,85.0,5400.0,2022,4,Finance & Investments,investments,Bahamas,,Albany,United Kingdom,,True,M,1937-02-05,,,,,"Joe Lewis owns the Tavistock Group, with more than 200 assets across 13 countries.
Through Tavistock, Lewis owns Premier League soccer team Tottenham and has a stake in U.K. pub operator Mitchells &amp; Butlers.
 He has a variety of other investments, including luxury club resorts, restaurants, hotels and an Australian agriculture firm.
Lewis continues to expand his vision for his Lake Nona development near Orlando, where Disney is moving 2,000 jobs and the high-tech Wave Hotel opened in late 2021.
He owns an extensive art collection that includes works by Picasso, Matisse, Freud and Bacon.","Born above a pub in London's East End, Lewis helped his family build a catering business. He sold it and became a currency trader.
Lewis took delivery of a 321-foot yacht with an indoor paddle tennis court in 2017."
665,Jim Davis,62.0,4300.0,2022,4,Service,staffing & recruiting,United States,Maryland,Cockeysville,United States,,True,M,1960-03-13,,2.0,"Baltimore, MD",,"Jim Davis is cofounder of Allegis Group, the largest staffing firm in the U.S. 
He founded Allegis (then called Aerotek) in 1983 with his cousin Steve Bisciotti, who is also a billionaire.
Allegis now has offices on four continents and boasts an annual revenue of $12.3 billion. 
Through Redwood Capital, the cousins also invest in everything from retirement communities to propane distribution.","Davis is a minority owner of the MLB's St. Louis Cardinals. 
Davis and Bisciotti started Allegis in a basement office. "
1513,Jay Hennick,65.0,2000.0,2022,4,Finance & Investments,real estate finance,Canada,,Toronto,Canada,,True,M,1957-01-20,,,,,"Jay Hennick is the CEO and largest shareholder of Toronto-based real estate investment firm Colliers International.
He got his start in 1972 as a teenager, when he started a small company that managed a commercial swimming pool, with a $1,000 loan from his dad.
In 1989, he turned that firm into real estate services outfit FirstService and took it public on the Toronto Stock Exchange four years later.
He merged FirstService with Colliers in 2010; five years later, he spun Colliers out as a publicly traded firm on the NASDAQ.",His first job was a summer lifeguard at an apartment complex at age 15; it gave him the idea for his first company.
1096,Alfred Gantner,54.0,2800.0,2022,4,Finance & Investments,private equity,Switzerland,,Zug,Switzerland,,True,M,1968-04-01,,,,,"Alfred Gantner is the cofounder of Partners Group, a Swiss private equity firm that manages more than $127 billion. 
Gantner started Partners Group in 1996 after stints at UBS and Goldman Sachs, where he met cofounders Marcel Erni and Urs Wietlisbach.
The firm went public in Switzerland in 2006 and the trio each own roughly 5% of the stock.
Gantner earned his MBA from the Brigham Young University Marriott School of Management, Utah.
",
2324,Jose Maria Aristrain,59.0,1200.0,2022,4,Metals & Mining,steel,Switzerland,,Gstaad,Spain,,False,M,1962-11-02,,,,,"Jose Maria Aristrain is the former owner of steelmaker Arcelor, which was acquired by Mittal Steel in 2006 for nearly $34 billion in cash and stock. 
He is now believed to own a 2% stake of ArcelorMittal, the world's largest steel company.
He owns about 10% of Spain's Tubacex, the second-largest global manufacturer of seamless stainless steel tubes.
Aristrain inherited the business conglomerate when he was 24 years old, after his father, also named JosÃ© MarÃ­a Aristrain, died in 1986 in a helicopter crash on the CÃ´te d'Azur. 
Aristrain was accused of tax evasion in Spain and faced 40 years in prison, but he maintained his innocence and the Court of Madrid acquitted him in January 2022.  ",
1292,Nikil Viswanathan,34.0,2400.0,2022,4,Technology,blockchain technology,United States,California,San Francisco,United States,,True,M,1987-10-16,,,,,"Nikil Viswanathan cofounded Alchemy, whose software powers thousands of blockchain-based Web3 companies.  
Alchemy, founded in 2020, was valued by private investors at $10.2 billion in February 2022; Viswanathan owns an estimated 26% stake.
In December 2021, the company announced the launch of Alchemy Ventures, which invests in current clients with the goal of bootstrapping the industry. 
Viswanathan and cofounder Joe Lau, both Stanford grads, found initial success with meetup app Down to Lunch, briefly topping the Apple Store charts.  ","Alchemy's team consists of engineers from Google, Facebook, Microsoft, LinkedIn, and Pinterest, some of them college friends of Viswanathan and Lau. "
84,Reinhold Wuerth & family,86.0,19000.0,2022,4,Manufacturing,fasteners,Germany,,Kuenzelsau,Germany,,True,M,1935-04-20,,,,,"Reinhold Wuerth entered his father's wholesale screw business in 1949, at age 14, as the company's second employee and first apprentice.
He took the reins in 1954 and honed a competitive advantage by delivering goods directly to customers on construction sites and in mechanical shops.
Today, with annual sales of over $16 billion, the Wuerth Group has more than 400 companies and 83,000 employees around the world.
Reinhold retired in 1994, but he still serves as chairman of the supervisory board of the Wuerth Group's family trusts.
Daughter Bettina Wuerth is chairwoman of the advisory board of Wuerth Group.","Wuerth's vast art collection, consisting of more than 18,500 pieces, began with an Emil Nolde watercolor painting acquired in 1964.
An avid aviator, Wuerth was president of a German flying club for nearly 25 years."
1579,Wei Yin-Heng,63.0,1900.0,2022,4,Food & Beverage,"food, beverages",China,,Shanghai,Taiwan,,True,M,1959-01-01,,,,,"Wei Yin-Heng and his three brothers -- Ing-Chou, Yin-Chun and Ying-Chiao -- started Tingyi in 1991.
Tingyi is now a big producer of ready-to-drink tea and bottled water in China, and it supplies half of the country's instant-noodle market.
The family also controls the Dicos fried-chicken chain.
The family's private company, Ting Hsin, sold its 37.17% stake in Taipei 101, Taiwan's tallest building, to Itochu for $665 million in July 2018.","Wei graduated from a local high school in Changhua County, central Taiwan, and never went to  college."
490,John Brown,87.0,5400.0,2022,4,Healthcare,medical equipment,United States,Georgia,Atlanta,United States,,True,M,1934-09-15,,2.0,"Atlanta, GA",,"John Brown ran Stryker Corp., a medical device and software company, for 32 years before retiring as chairman in 2009. 
Stryker's revenues climbed from $17 million to $6.7 billion under Brown's leadership. He led the IPO of Stryker in 1979.
Brown is chairman emeritus of Stryker's board and owns slightly more than 5% of the company. 
Stryker Corp. was founded by orthopedic surgeon Dr. Homer Stryker from Kalamazoo, Michigan in 1941, who made devices to help with procedures.
Brown sat on the board of St. Jude Medical until it was acquired by Abbott Labs in January 2017. ","Brown still walks 2 miles, 5 days a week, after an ankle injury forced him to give up running.
Brown reads 6 newspapers a day: Wall Street Journal, New York Times, Financial Times, Investors Business Daily, USA Today and The Atlanta Journal-Constitution. "
2076,Carlos Sanchez,60.0,1400.0,2022,4,Healthcare,generic drugs,Brazil,,Santo Andre,Brazil,,False,M,1962-01-21,,,,,"Carlos Sanchez owns and runs privately-held generic drug firm EMS S.A., which was founded by his late father.
EMS S.A. sells prescription, generic, branded generic and over-the-counter products. 
In recent years, the company has benefited from adding drugs including generic versions of Viagra and Lipitor to its sales arsenal.
EMS was founded by Sanchez' father, Emiliano, in 1950 as a small pharmacy. Sanchez inherited EMS at age 26 when his father died.
Sanchez owns 75% of EMS; the rest is owned by the sons of his sister, who passed away in 2009.",Sanchez reportedly bid $85 million for Edvard Munch painting The Scream at a Sotheby's auction but was outbid by billionaire Leon Black at $119.9 million.
1238,Lachhman Das Mittal,91.0,2500.0,2022,4,Automotive,tractors,India,,Delhi,India,,False,M,1930-11-05,,,,3.0,"Lachhman Das Mittal started his business career in 1990 at age 60 after retiring from the state-owned Life Insurance Corporation of India.
Today his Sonalika Group is India's third-largest tractor maker by market share.
Japanese firm Yanmar has a 30% stake in his tractor outfit International Tractors.
Mittal has handed over operations to his sons Amrit Sagar and Deepak and grandsons Raman, Sushant and Rahul, but attends office every day.","Sonalika, which means ""lines of gold"" in Hindi, was named after a wheat seed that fueled India's Green Revolution.
His daughter Usha Sangwan was the first woman managing director of the Life Insurance Corporation of India, the state-owned ife insurer. She has since retired."
1818,Shyam Bhartia,69.0,1600.0,2022,4,Healthcare,"pharmaceuticals, food",India,,Delhi,India,,False,M,1952-11-09,,,,,"Shyam Bhartia chairs the Jubilant Bhartia group with interests in energy, fast food, pharma and auto distribution.
The Jubilant group has four listed companies.
Jubilant Foodworks has 1,500 Domino's Pizza outlets and 29 Dunkin Donuts stores in India. 
Jubilant Life Sciences was split into two companies, Jubilant Pharmova and Jubilant Ingrevia . The latter was listed in March 2021.
His younger brother Hari,who is also a billionaire, is cochairman.","Jubilant FoodWorks has 32 restaurants in Bangladesh with a partner.
Bhartia's wife Shobhana has her separate media company, which publishes the Hindustan Times daily newspaper."
343,Judy Faulkner,78.0,7000.0,2022,4,Technology,health IT,United States,Wisconsin,Madison,United States,Epic Systems,True,F,1943-08-11,Founder-CEO,1.0,"Madison, WI",,"Judy Faulkner founded America's leading medical-record software provider, Epic, in a Wisconsin basement in 1979.
Faulkner, a computer programmer, is still CEO of the $3.5 billion (sales) company.
Epic supports the medical records of over 250 million patients and is used by top medical centers such as Johns Hopkins and Mayo Clinic.
The company has never raised venture capital or made an acquisition, and develops all its software in-house.
Faulkner signed the Giving Pledge in 2015 and has agreed to eventually gift 99% of her assets to a private charitable foundation.","Faulkner started Epic, originally named Human Services Computing, with $70,000; she and two part-time assistants were the only employees.
Perks at her Epic's headquarters in Verona, Wisconsin include a tree house and an Indiana Jones-inspired cave walkway."
2578,Grant Petty,53.0,1000.0,2022,4,Technology,"cameras, software",Australia,,Melbourne,Australia,,True,M,1969-01-01,,,,,"Grant Petty cofounded film industry hardware and software company Blackmagic Design in his garage in Melbourne, Australia in 2001.
Blackmagic Design's professional cinema cameras, electronic equipment and software known as DaVinci Resolve are used by Hollywood studios and YouTubers.
During the pandemic, Blackmagic profits soared tenfold to $115 million, as networks bought its low-cost gear to accommodate work-from-home.
Petty, who grew up poor, writes the code for all of Blackmagic's internal processes and stars in hour-long instructional videos for company products.",
1818,Yang Tingdong,61.0,1600.0,2022,4,Food & Beverage,brewery,China,,Suqian,China,,True,M,1960-05-20,,,,,"Yang Tingdong's fortune comes from a stake in rice-wine supplier Jiangsu Yanghe Brewery.
Yang chaired the company from 2002 to 2012.",
1012,Zhigang Wu & family,87.0,3000.0,2022,4,Food & Beverage,bakery chain,China,,Shenyang,China,,True,M,1935-01-14,,,,,"Wu Zhigang chairs Shanghai-listed bakery chain Shenyang Toly Bread.
Wu was a teacher at an industrial school before founding the chain with his son Wu Xuequn in 1995; Xuequn is the company's general manager.
Wu Zhigang's wife, Sheng Yali, and sons Wu Xuedong, Wu Xuequn and Wu Xueliang hold shares in Toly. 
Xuedong, Xuequn and Xueliang are board members.",
2190,Zhaoxi Lu,53.0,1300.0,2022,4,Technology,e-commerce,China,,Hangzhou,China,,True,M,1969-01-01,,,,,"Lu Zhaoxi, also known as Jonathan Lu, has held numerous posts in the Alibaba Group over the years, most recently vice chairman.
His fortune arises from holdings in Ant Group, the financial services arm of Alibaba Group.
On November 3, 2020, Chinese authorities held up Ant's planned dual IPO listing in Shanghai and Hong Kong due to regulatory concerns. 
He holds a graduate certificate in hotel management from Guangzhou University and an MBA from China Europe International Business School.",
375,Randa Duncan Williams,60.0,6600.0,2022,4,Energy,pipelines,United States,Texas,Houston,United States,Enterprise GP Holdings,False,F,1961-08-28,Non-Executive Chairman of the Board,1.0,"Houston, TX",3.0,"Randa Duncan Williams is non-executive chairman of Enterprise Products Partners, the pipeline giant her father Dan Duncan (d. 2010) founded in 1968.
Williams is the only one of four siblings involved in running the family business; all four inherited equal stakes in the company.
Enterprise Products owns nearly 50,000 miles of energy pipelines, natural gas processing plants and a large oil storage facility on the Gulf Coast.
Williams joined the family business in 1994 and became president and CEO of Enterprise Products in 2001. 
She sits on the board of the University of Texas Health Science Center where a clinic is named after her father at the Children's Learning Institute.","With a law degree from the University of Houston, Williams practiced law for about 6 years beginning in 1988, handling toxic tort cases and property liability cases.
Her father Dan Duncan became the first American billionaire to pass his fortune tax-free to his descendants due to a temporary repeal of the estate tax law in 2010."
1053,Olivier Pomel,45.0,2900.0,2022,4,Technology,cloud computing,United States,New York,New York,France,Datadog,True,M,1977-03-26,Cofounder,,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",,"Olivier Pomel is the CEO of Datadog, a cloud monitoring company he cofounded with Alexis LÃª-QuÃ´c, the firm's chief technology officer, in 2010.
Datadog listed on the Nasdaq in September 2019, raising nearly $650 million and nabbing a $10.9 billion market cap on its first day of trading.
Pomel and LÃª-QuÃ´c became billionaires in May 2020 after a blockbuster earnings release sent shares soaring; Pomel owns 4% of Datadog shares.
The French natives met while undergraduates at Ecole Centrale Paris, where both received Master's degrees in computer science.
Before building Datadog, the duo worked together at New York-based firm Wireless Generation, which was acquired by News Corp in 2010.",
1729,William Heinecke,72.0,1700.0,2022,4,Real Estate,hotels,Thailand,,Bangkok,Thailand,,True,M,1949-06-04,,,,,"U.S.-born hotelier William Heinecke came to Thailand as a child and started his first business before he turned 18, hence naming his company Minor.
A Thai citizen since 1991, his Minor International has more than 500 hotels and resorts, nearly 2,400 restaurants and 470 retail stores, spread across more than 50 countries.
He tripled the size of his hotel portfolio by acquiring Spain's NH Hotels for $2.6 billion in 2018, the year of Minor's golden anniversary. 
Minor also has franchises for such brands as Swensens, Sizzler, Dairy Queen and Burger King. 
In January 2020, Heinecke ceded the CEO's position to a Minor veteran. In 2021, Minor expanded into China, partnering Funyard Hotels & Resorts.","An auto enthusiast, Heinecke has a collection of 36 cars and motorcycles.
In March 2020, he announced the shutdown of his Bangkok hotels in response to the COVID-19 pandemic."
2190,Zhang Guiping & family,70.0,1300.0,2022,4,Real Estate,real estate,China,,Nanjing,China,,True,M,1951-08-21,,,,,"Zhang Guiping is the chairman of Suning Universal, a property and hotel business headquartered in Nanjing, a city in eastern China.
Zhang has been working to diversify Shenzhen-listed Suning with investments in cosmetic surgery, hospitals and health insurance companies.
Zhang's brother Zhang Jindong is also a billionaire. 
",
